customer_id,age,city,state,days_since_registration,total_orders,first_order_date,last_order_date,days_since_last_order,churn_flag,avg_delivery_delta,max_delivery_delta,pct_late_orders,avg_rating,min_rating,pct_cancelled_returned,total_clv,clv_tier
C00001,26,Delhi,Delhi,38,2,2023-03-24 00:00:00,2023-11-29 00:00:00,398,1,35.5,47,100.0,4.0,4.0,50.0,5510,Mid
C00002,19,Delhi,Delhi,507,1,2023-10-10 00:00:00,2023-10-10 00:00:00,448,1,82.0,82,100.0,3.0,3.0,0.0,200,Low
C00003,30,Jaipur,Rajasthan,301,3,2023-07-03 00:00:00,2024-07-06 00:00:00,178,1,-4.0,2,14.285714285714285,3.142857142857143,1.0,0.0,7520,High
C00005,39,Delhi,Delhi,636,3,2023-05-20 00:00:00,2024-12-18 00:00:00,13,0,46.666666666666664,52,100.0,4.0,3.0,0.0,4050,Mid
C00006,56,Chennai,Tamil Nadu,686,2,2023-03-11 00:00:00,2024-11-02 00:00:00,59,0,40.333333333333336,50,100.0,4.5,4.0,0.0,2670,Mid
C00007,42,Delhi,Delhi,165,2,2024-08-25 00:00:00,2024-12-10 00:00:00,21,0,30.5,65,100.0,4.5,3.0,0.0,3850,Mid
C00008,22,Mumbai,Maharashtra,53,4,2023-09-08 00:00:00,2024-08-23 00:00:00,130,1,8.75,19,50.0,4.333333333333333,4.0,25.0,1120,Low
C00009,24,Kolkata,West Bengal,446,2,2023-02-28 00:00:00,2024-01-16 00:00:00,350,1,30.5,44,100.0,,,50.0,2750,Mid
C00010,31,Chennai,Tamil Nadu,12,1,2024-05-03 00:00:00,2024-05-03 00:00:00,242,1,67.0,67,100.0,,,0.0,430,Low
C00011,33,Bengaluru,Karnataka,257,3,2023-09-09 00:00:00,2024-12-10 00:00:00,21,0,32.0,44,100.0,3.6,1.0,66.66666666666667,8600,High
C00012,38,Mumbai,Maharashtra,496,1,2024-05-01 00:00:00,2024-05-01 00:00:00,244,1,79.0,79,100.0,4.5,4.0,0.0,2190,Mid
C00013,31,Lucknow,Uttar Pradesh,408,3,2023-08-17 00:00:00,2024-07-13 00:00:00,171,1,52.333333333333336,73,100.0,2.0,1.0,0.0,3770,Mid
C00014,59,Ahmedabad,Gujarat,584,2,2023-07-18 00:00:00,2024-07-28 00:00:00,156,1,8.5,20,50.0,,,50.0,2960,Mid
C00015,52,Chennai,Tamil Nadu,132,5,2023-09-25 00:00:00,2024-09-25 00:00:00,97,1,22.88888888888889,43,88.88888888888889,3.857142857142857,1.0,40.0,6170,High
C00016,26,Jaipur,Rajasthan,225,1,2024-02-26 00:00:00,2024-02-26 00:00:00,309,1,11.0,11,100.0,4.0,4.0,0.0,2720,Mid
C00017,28,Kolkata,West Bengal,120,1,2024-05-19 00:00:00,2024-05-19 00:00:00,226,1,20.0,20,100.0,3.5,3.0,0.0,1660,Low
C00018,47,Jaipur,Rajasthan,473,3,2024-07-11 00:00:00,2024-11-21 00:00:00,40,0,17.75,22,100.0,3.5,3.0,33.333333333333336,6010,Mid
C00019,52,Chennai,Tamil Nadu,74,2,2023-02-19 00:00:00,2023-07-08 00:00:00,542,1,38.5,41,100.0,3.5,2.0,0.0,3260,Mid
C00020,47,Mumbai,Maharashtra,461,6,2023-01-15 00:00:00,2024-12-07 00:00:00,24,0,46.0,91,100.0,4.0,4.0,0.0,13380,High
C00021,58,Chennai,Tamil Nadu,76,1,2023-08-27 00:00:00,2023-08-27 00:00:00,492,1,37.0,37,100.0,4.5,4.0,0.0,1520,Low
C00022,28,Jaipur,Rajasthan,187,3,2023-06-09 00:00:00,2023-08-08 00:00:00,511,1,36.0,60,100.0,4.333333333333333,3.0,0.0,6350,High
C00023,25,Pune,Maharashtra,416,2,2024-02-07 00:00:00,2024-04-15 00:00:00,260,1,34.0,48,100.0,,,0.0,3540,Mid
C00024,23,Delhi,Delhi,233,2,2023-07-14 00:00:00,2024-06-01 00:00:00,213,1,38.0,51,100.0,2.5,1.0,0.0,0,Low
C00025,48,Jaipur,Rajasthan,561,5,2023-06-14 00:00:00,2024-06-15 00:00:00,199,1,19.8,43,80.0,4.5,4.0,0.0,5860,Mid
C00026,31,Jaipur,Rajasthan,24,3,2023-01-10 00:00:00,2024-04-03 00:00:00,272,1,31.666666666666668,41,100.0,4.0,4.0,0.0,5950,Mid
C00027,59,Pune,Maharashtra,282,1,2023-07-01 00:00:00,2023-07-01 00:00:00,549,1,49.0,49,100.0,3.3333333333333335,1.0,0.0,0,Low
C00028,22,Pune,Maharashtra,709,3,2023-02-26 00:00:00,2024-03-09 00:00:00,297,1,51.25,78,100.0,3.6666666666666665,3.0,33.333333333333336,6560,High
C00029,18,Delhi,Delhi,6,2,2024-08-18 00:00:00,2024-08-25 00:00:00,128,1,33.0,46,100.0,3.0,3.0,0.0,790,Low
C00030,39,Delhi,Delhi,204,3,2023-04-24 00:00:00,2024-09-27 00:00:00,95,1,27.857142857142858,42,100.0,4.142857142857143,4.0,0.0,3430,Mid
C00031,26,Lucknow,Uttar Pradesh,140,5,2023-01-07 00:00:00,2024-12-11 00:00:00,20,0,21.22222222222222,26,100.0,4.0,3.0,20.0,5470,Mid
C00032,30,Delhi,Delhi,631,2,2023-07-08 00:00:00,2024-05-15 00:00:00,230,1,30.8,32,100.0,4.4,4.0,0.0,5790,Mid
C00033,21,Delhi,Delhi,668,3,2023-04-11 00:00:00,2024-11-30 00:00:00,31,0,17.666666666666668,50,66.66666666666666,3.5,2.0,33.333333333333336,3550,Mid
C00034,30,Jaipur,Rajasthan,271,3,2024-07-28 00:00:00,2024-12-18 00:00:00,13,0,44.0,52,100.0,,,0.0,5940,Mid
C00035,33,Delhi,Delhi,277,2,2023-08-10 00:00:00,2024-03-07 00:00:00,299,1,25.0,53,100.0,4.5,4.0,0.0,5860,Mid
C00038,34,Ahmedabad,Gujarat,438,1,2023-12-17 00:00:00,2023-12-17 00:00:00,380,1,7.0,7,100.0,,,0.0,980,Low
C00039,36,Hyderabad,Telangana,671,1,2023-11-06 00:00:00,2023-11-06 00:00:00,421,1,37.0,37,100.0,,,0.0,1470,Low
C00040,21,Mumbai,Maharashtra,132,2,2023-07-06 00:00:00,2023-10-06 00:00:00,452,1,25.0,36,100.0,3.0,3.0,0.0,4290,Mid
C00041,50,Delhi,Delhi,540,1,2024-10-01 00:00:00,2024-10-01 00:00:00,91,1,80.0,80,100.0,,,0.0,4540,Mid
C00042,33,Kolkata,West Bengal,608,2,2023-04-04 00:00:00,2023-09-07 00:00:00,481,1,17.5,18,100.0,4.0,4.0,0.0,2120,Mid
C00043,57,Delhi,Delhi,301,1,2023-10-18 00:00:00,2023-10-18 00:00:00,440,1,11.0,11,100.0,4.5,4.0,200.0,1820,Low
C00044,34,Hyderabad,Telangana,45,2,2023-07-10 00:00:00,2024-04-06 00:00:00,269,1,7.0,10,100.0,5.0,5.0,100.0,2890,Mid
C00045,60,Chennai,Tamil Nadu,262,5,2023-04-26 00:00:00,2024-05-12 00:00:00,233,1,24.428571428571427,41,100.0,3.8,3.0,40.0,6190,High
C00046,54,Delhi,Delhi,655,3,2023-07-05 00:00:00,2024-02-25 00:00:00,310,1,38.333333333333336,59,100.0,4.0,4.0,0.0,6340,High
C00047,40,Delhi,Delhi,480,1,2024-07-02 00:00:00,2024-07-02 00:00:00,182,1,7.0,7,100.0,,,100.0,1700,Low
C00048,52,Chennai,Tamil Nadu,104,1,2023-10-19 00:00:00,2023-10-19 00:00:00,439,1,25.0,25,100.0,2.0,2.0,0.0,1170,Low
C00050,27,Chennai,Tamil Nadu,442,2,2024-01-09 00:00:00,2024-08-18 00:00:00,135,1,28.0,38,100.0,3.0,3.0,0.0,2880,Mid
