customer_id,churn_probability,clv_tier,total_clv,avg_delivery_delta,intervene_flag,recommended_voucher_amount,estimated_clv_at_risk,intervention_roi
C00001,0.6784039,Mid,5510,35.5,1,40,3738.0054889999997,2905.3199676024824
C00002,0.82453036,Low,200,82.0,0,0,164.906072,0.0
C00003,0.82738066,High,7520,-4.0,1,150,6221.9025632,616.0138093359283
C00005,0.34211776,Mid,4050,46.66666666666666,0,0,1385.576928,0.0
C00006,0.7599435,Mid,2670,40.333333333333336,1,80,2029.049145,508.85804509586563
C00007,0.32254264,Mid,3850,30.5,0,0,1241.789164,0.0
C00008,0.4803882,Low,1120,8.75,0,0,538.034784,0.0
C00009,0.5662495,Mid,2750,30.5,1,40,1557.186125,1588.5756507795313
C00010,0.8578393,Low,430,67.0,0,0,368.870899,0.0
C00011,0.40548652,High,8600,32.0,0,0,3487.184072,0.0
C00012,0.90925,Mid,2190,79.0,0,0,1991.2575,0.0
C00013,0.46685964,Mid,3770,52.333333333333336,0,0,1760.0608428,0.0
C00014,0.5691931,Mid,2960,8.5,0,0,1684.811576,0.0
C00015,0.21076252,High,6170,22.88888888888889,0,0,1300.4047484,0.0
C00016,0.8043758,Mid,2720,11.0,0,0,2187.902176,0.0
C00017,0.6912739,Low,1660,20.0,0,0,1147.514674,0.0
C00018,0.6759931,Mid,6010,17.75,0,0,4062.718531,0.0
C00019,0.7908162,Mid,3260,38.5,1,80,2578.0608119999997,574.110696606557
C00020,0.11571589,High,13380,46.0,0,0,1548.2786082,0.0
C00021,0.72032756,Low,1520,37.0,0,0,1094.8978912,0.0
C00022,0.5148665,High,6350,36.0,1,80,3269.402275,1882.6207107233906
C00023,0.557416,Mid,3540,34.0,1,40,1973.2526400000002,2083.3251160544
C00024,0.4052297,Low,0,38.0,0,0,0.0,0.0
C00025,0.28362527,Mid,5860,19.8,0,0,1662.0440821999998,0.0
C00026,0.41190332,Mid,5950,31.666666666666668,0,0,2450.824754,0.0
C00027,0.86693877,Low,0,49.0,0,0,0.0,0.0
C00028,0.5404306,High,6560,51.25,1,80,3545.2247359999997,1936.596005985848
C00029,0.8620035,Low,790,33.0,0,0,680.982765,0.0
C00030,0.47576907,Mid,3430,27.857142857142858,0,0,1631.8879101,0.0
C00031,0.19574101,Mid,5470,21.22222222222222,0,0,1070.7033247,0.0
C00032,0.65460974,Mid,5790,30.8,1,40,3790.1903946,3172.737114600991
C00033,0.35601944,Mid,3550,17.666666666666668,0,0,1263.869012,0.0
C00034,0.5657213,Mid,5940,44.0,1,40,3360.384522,3548.3585542857036
C00035,0.57519394,Mid,5860,25.0,0,0,3370.6364884,0.0
C00038,0.8296482,Low,980,7.0,0,0,813.0552359999999,0.0
C00039,0.73142475,Low,1470,37.0,0,0,1075.1943824999998,0.0
C00040,0.6721499,Mid,4290,25.0,0,0,2883.523071,0.0
C00041,0.91249466,Mid,4540,80.0,0,0,4142.7257564,0.0
C00042,0.59639233,Mid,2120,17.5,0,0,1264.3517396,0.0
C00043,0.7445537,Low,1820,11.0,0,0,1355.087734,0.0
C00044,0.7462772,Mid,2890,7.0,1,80,2156.7411079999997,584.017990996078
C00045,0.37554595,High,6190,24.428571428571427,0,0,2324.6294305,0.0
C00046,0.5767095,High,6340,38.333333333333336,1,80,3656.33823,1834.6165469322689
C00047,0.8037343,Low,1700,7.0,0,0,1366.34831,0.0
C00048,0.815693,Low,1170,25.0,0,0,954.36081,0.0
C00050,0.66138107,Mid,2880,28.0,0,0,1904.7774816,0.0
C00051,0.63727444,Mid,3290,32.0,1,40,2096.6329076,1801.255863809096
C00052,0.9191153,Low,1690,0.0,0,0,1553.3048569999999,0.0
C00053,0.58574337,Mid,4890,45.66666666666666,1,40,2864.2850793,2866.3727107752516
C00055,0.30615735,Low,0,48.0,0,0,0.0,0.0
C00057,0.7132326,High,7630,9.333333333333334,1,150,5441.964738,940.3853858719607
C00058,0.4872745,High,6070,36.5,0,0,2957.756215,0.0
C00059,0.26390818,High,13350,33.0,0,0,3523.174203,0.0
C00060,0.45109016,Low,0,9.0,0,0,0.0,0.0
C00061,0.9520007,Low,0,56.0,0,0,0.0,0.0
C00062,0.3201795,Mid,5000,19.0,0,0,1600.8975,0.0
C00063,0.94364387,Low,0,19.0,0,0,0.0,0.0
C00065,0.46181738,Mid,2750,24.285714285714285,0,0,1269.997795,0.0
C00066,0.8514068,Low,250,36.0,0,0,212.8517,0.0
C00068,0.70277697,Low,0,10.0,0,0,0.0,0.0
C00069,0.8092972,Low,740,19.0,0,0,598.8799280000001,0.0
C00070,0.44327992,High,8320,35.0,0,0,3688.0889343999997,0.0
C00071,0.6693132,Low,1230,17.0,0,0,823.2552360000001,0.0
C00072,0.9342647,Mid,2250,1.0,0,0,2102.095575,0.0
C00073,0.40373853,Mid,3700,32.0,0,0,1493.832561,0.0
C00074,0.5363749,Mid,3860,35.5,1,40,2070.407114,2299.7317631724036
C00075,0.3843174,High,10410,38.25,0,0,4000.7441339999996,0.0
C00076,0.6695571,High,7270,18.6,1,80,4867.680117,1910.6129176672741
C00077,0.95107967,Mid,2470,2.0,0,0,2349.1667849,0.0
C00079,0.4878888,Mid,2540,22.33333333333333,0,0,1239.237552,0.0
C00082,0.61982185,Mid,1930,21.33333333333333,0,0,1196.2561705,0.0
C00083,0.63853925,High,8100,42.0,1,80,5172.167925,2236.9196216205546
C00084,0.56591,Low,260,14.0,0,0,147.13660000000002,0.0
C00085,0.42148295,High,14300,26.0,0,0,6027.206185,0.0
C00086,0.5627573,Mid,2550,38.8,1,40,1435.031115,1468.6421982665263
C00087,0.28863585,High,7710,37.75,0,0,2225.3824035000002,0.0
C00088,0.57045233,High,9600,13.5,1,80,5476.342368,2840.4376303708536
C00089,0.4596975,Mid,2800,33.6,0,0,1287.153,0.0
C00090,0.8881995,Mid,1860,57.0,0,0,1652.05107,0.0
C00091,0.40220955,High,8310,14.833333333333334,0,0,3342.3613605,0.0
C00092,0.7510652,High,6350,31.0,1,150,4769.26402,691.4905233105974
C00093,0.3660482,Mid,5800,12.333333333333334,0,0,2123.07956,0.0
C00094,0.84448314,Mid,3310,23.0,0,0,2795.2391934,0.0
C00095,0.61677396,Mid,2800,10.0,0,0,1726.9670879999999,0.0
C00096,0.27961245,Mid,3030,63.0,0,0,847.2257235000001,0.0
C00097,0.75052893,Low,500,19.0,0,0,375.264465,0.0
C00098,0.943633,Mid,2260,35.0,0,0,2132.61058,0.0
C00099,0.70361656,Low,450,37.0,0,0,316.62745199999995,0.0
C00100,0.71812767,Low,560,65.0,0,0,402.1514952,0.0
C00101,0.5282639,High,9370,49.6,1,80,4949.832743,2818.768492293903
C00102,0.7777868,Low,360,46.0,0,0,280.003248,0.0
C00103,0.74085766,Low,120,40.0,0,0,88.9029192,0.0
C00104,0.72044075,Low,0,26.0,0,0,0.0,0.0
C00105,0.48897353,Mid,5740,32.25,0,0,2806.7080622,0.0
C00106,0.6363612,Low,1500,11.0,0,0,954.5418,0.0
C00107,0.6113118,High,6780,38.8,1,80,4144.694004,1913.7420649569415
C00108,0.41156766,Mid,5850,44.66666666666666,0,0,2407.670811,0.0
C00109,0.5131316,Low,1010,27.0,0,0,518.262916,0.0
C00110,0.5322731,Low,1500,26.0,0,0,798.40965,0.0
C00111,0.70714164,High,7810,44.66666666666666,1,150,5522.7762084000005,978.2607886926949
C00112,0.5874459,Mid,5390,38.0,1,40,3166.333401,3165.709566373735
C00113,0.40060014,High,6400,32.2,0,0,2563.840896,0.0
C00115,0.5531039,Low,1330,27.666666666666668,0,0,735.628187,0.0
