customer_id,age,city,state,days_since_registration,total_orders,first_order_date,last_order_date,days_since_last_order,churn_flag,avg_delivery_delta,max_delivery_delta,pct_late_orders,avg_rating,min_rating,pct_cancelled_returned,total_clv,clv_tier,churn_probability
C00001,26,Delhi,Delhi,38,2,2023-03-24 00:00:00,2023-11-29 00:00:00,398,1,35.5,47,100.0,4.0,4.0,50.0,5510,Mid,0.6784039
C00002,19,Delhi,Delhi,507,1,2023-10-10 00:00:00,2023-10-10 00:00:00,448,1,82.0,82,100.0,3.0,3.0,0.0,200,Low,0.82453036
C00003,30,Jaipur,Rajasthan,301,3,2023-07-03 00:00:00,2024-07-06 00:00:00,178,1,-4.0,2,14.285714285714285,3.142857142857143,1.0,0.0,7520,High,0.82738066
C00005,39,Delhi,Delhi,636,3,2023-05-20 00:00:00,2024-12-18 00:00:00,13,0,46.666666666666664,52,100.0,4.0,3.0,0.0,4050,Mid,0.34211776
C00006,56,Chennai,Tamil Nadu,686,2,2023-03-11 00:00:00,2024-11-02 00:00:00,59,0,40.333333333333336,50,100.0,4.5,4.0,0.0,2670,Mid,0.7599435
C00007,42,Delhi,Delhi,165,2,2024-08-25 00:00:00,2024-12-10 00:00:00,21,0,30.5,65,100.0,4.5,3.0,0.0,3850,Mid,0.32254264
C00008,22,Mumbai,Maharashtra,53,4,2023-09-08 00:00:00,2024-08-23 00:00:00,130,1,8.75,19,50.0,4.333333333333333,4.0,25.0,1120,Low,0.4803882
C00009,24,Kolkata,West Bengal,446,2,2023-02-28 00:00:00,2024-01-16 00:00:00,350,1,30.5,44,100.0,,,50.0,2750,Mid,0.5662495
C00010,31,Chennai,Tamil Nadu,12,1,2024-05-03 00:00:00,2024-05-03 00:00:00,242,1,67.0,67,100.0,,,0.0,430,Low,0.8578393
C00011,33,Bengaluru,Karnataka,257,3,2023-09-09 00:00:00,2024-12-10 00:00:00,21,0,32.0,44,100.0,3.6,1.0,66.66666666666667,8600,High,0.40548652
C00012,38,Mumbai,Maharashtra,496,1,2024-05-01 00:00:00,2024-05-01 00:00:00,244,1,79.0,79,100.0,4.5,4.0,0.0,2190,Mid,0.90925
C00013,31,Lucknow,Uttar Pradesh,408,3,2023-08-17 00:00:00,2024-07-13 00:00:00,171,1,52.333333333333336,73,100.0,2.0,1.0,0.0,3770,Mid,0.46685964
C00014,59,Ahmedabad,Gujarat,584,2,2023-07-18 00:00:00,2024-07-28 00:00:00,156,1,8.5,20,50.0,,,50.0,2960,Mid,0.5691931
C00015,52,Chennai,Tamil Nadu,132,5,2023-09-25 00:00:00,2024-09-25 00:00:00,97,1,22.88888888888889,43,88.88888888888889,3.857142857142857,1.0,40.0,6170,High,0.21076252
C00016,26,Jaipur,Rajasthan,225,1,2024-02-26 00:00:00,2024-02-26 00:00:00,309,1,11.0,11,100.0,4.0,4.0,0.0,2720,Mid,0.8043758
C00017,28,Kolkata,West Bengal,120,1,2024-05-19 00:00:00,2024-05-19 00:00:00,226,1,20.0,20,100.0,3.5,3.0,0.0,1660,Low,0.6912739
C00018,47,Jaipur,Rajasthan,473,3,2024-07-11 00:00:00,2024-11-21 00:00:00,40,0,17.75,22,100.0,3.5,3.0,33.333333333333336,6010,Mid,0.6759931
C00019,52,Chennai,Tamil Nadu,74,2,2023-02-19 00:00:00,2023-07-08 00:00:00,542,1,38.5,41,100.0,3.5,2.0,0.0,3260,Mid,0.7908162
C00020,47,Mumbai,Maharashtra,461,6,2023-01-15 00:00:00,2024-12-07 00:00:00,24,0,46.0,91,100.0,4.0,4.0,0.0,13380,High,0.11571589
